freq_0_data,Syy_0_data,freq_1_data,Syy_1_data,freq_2_data,Syy_2_data,freq_3_data,Syy_3_data,freq_4_data,Syy_4_data,freq_5_data,Syy_5_data,freq_0_fit,Syy_0_fit,freq_1_fit,Syy_1_fit,freq_2_fit,Syy_2_fit,freq_3_fit,Syy_3_fit,freq_4_fit,Syy_4_fit,freq_5_fit,Syy_5_fit
-9.99572618765593,2.19E-34,-9.99088805761374,3.61E-34,-9.98619082967983,5.53E-34,-9.99405425498774,1.54E-33,-9.98673841561493,6.06E-33,-10.0068277012507,1.67E-32,-9.99780879348209,2.29E-34,-9.99777071144018,3.29E-34,-9.99771302990187,6.28E-34,-9.99765607600595,1.51E-33,-9.99778031103401,5.75E-33,-9.99770969507072,1.58E-32
-9.93572618765593,2.05E-34,-9.93088805761374,3.15E-34,-9.95619082967983,6.13E-34,-9.96405425498774,1.63E-33,-9.95673841561493,6.46E-33,-9.97682770125078,1.64E-32,-9.99300874548154,2.29E-34,-9.99297066343974,3.29E-34,-9.99291298190133,6.28E-34,-9.99285602800556,1.51E-33,-9.99298026303347,5.75E-33,-9.99290964707033,1.58E-32
-9.87572618765593,2.13E-34,-9.87088805761374,2.86E-34,-9.92619082967983,5.95E-34,-9.93405425498774,1.50E-33,-9.92673841561493,7.61E-33,-9.94682770125079,1.70E-32,-9.98820869748109,2.29E-34,-9.98817061543919,3.29E-34,-9.98811293390085,6.28E-34,-9.98805598000496,1.51E-33,-9.98818021503308,5.75E-33,-9.98810959906984,1.58E-32
-9.81572618765593,2.23E-34,-9.81088805761374,3.28E-34,-9.89619082967983,5.65E-34,-9.90405425498774,1.47E-33,-9.89673841561493,5.80E-33,-9.91682770125079,1.59E-32,-9.98340864948068,2.29E-34,-9.98337056743875,3.29E-34,-9.98331288590046,6.28E-34,-9.98325593200452,1.51E-33,-9.98338016703255,5.75E-33,-9.98330955106929,1.58E-32
-9.75572618765593,2.19E-34,-9.75088805761374,3.32E-34,-9.86619082967983,5.62E-34,-9.87405425498774,1.39E-33,-9.86673841561493,5.17E-33,-9.88682770125079,1.64E-32,-9.97860860148007,2.29E-34,-9.97857051943833,3.29E-34,-9.97851283789987,6.28E-34,-9.97845588400411,1.51E-33,-9.97858011903202,5.75E-33,-9.9785095030689,1.58E-32
-9.69572618765593,2.10E-34,-9.69088805761374,2.97E-34,-9.83619082967983,5.62E-34,-9.84405425498774,1.46E-33,-9.83673841561493,5.52E-33,-9.85682770125079,1.66E-32,-9.97380855347966,2.29E-34,-9.97377047143772,3.29E-34,-9.97371278989942,6.28E-34,-9.97365583600352,1.51E-33,-9.97378007103165,5.75E-33,-9.97370945506839,1.58E-32
-9.63572618765593,2.19E-34,-9.63088805761374,3.08E-34,-9.80619082967983,6.32E-34,-9.81405425498774,1.69E-33,-9.80673841561493,6.24E-33,-9.82682770125079,1.82E-32,-9.96900850547927,2.29E-34,-9.96897042343731,3.29E-34,-9.96891274189904,6.28E-34,-9.96885578800311,1.51E-33,-9.96898002303111,5.75E-33,-9.96890940706785,1.58E-32
-9.57572618765593,2.22E-34,-9.57088805761374,3.29E-34,-9.77619082967983,6.05E-34,-9.78405425498774,1.56E-33,-9.77673841561493,6.17E-33,-9.79682770125079,1.81E-32,-9.9642084574786,2.29E-34,-9.96417037543692,3.29E-34,-9.9641126938984,6.28E-34,-9.96405574000263,1.51E-33,-9.96417997503059,5.75E-33,-9.96410935906747,1.58E-32
-9.51572618765593,2.07E-34,-9.51088805761374,3.02E-34,-9.74619082967983,6.21E-34,-9.75405425498774,1.36E-33,-9.74673841561493,6.31E-33,-9.76682770125079,1.60E-32,-9.95940840947822,2.29E-34,-9.95937032743626,3.29E-34,-9.95931264589799,6.28E-34,-9.95925569200209,1.51E-33,-9.95937992703021,5.75E-33,-9.95930931106695,1.58E-32
-9.45572618765593,2.17E-34,-9.45088805761374,3.03E-34,-9.71619082967983,5.97E-34,-9.72405425498774,1.50E-33,-9.71673841561493,6.11E-33,-9.73682770125078,1.68E-32,-9.9546083614778,2.29E-34,-9.95457027943588,3.29E-34,-9.95451259789758,6.28E-34,-9.9544556440017,1.51E-33,-9.95457987902965,5.75E-33,-9.95450926306641,1.58E-32
-9.39572618765593,2.17E-34,-9.39088805761374,3.16E-34,-9.68619082967983,6.41E-34,-9.69405425498774,1.69E-33,-9.68673841561493,5.58E-33,-9.70682770125079,1.65E-32,-9.94980831347719,2.29E-34,-9.94977023143545,3.29E-34,-9.94971254989696,6.28E-34,-9.94965559600117,1.51E-33,-9.94977983102916,5.75E-33,-9.94970921506603,1.58E-32
-9.33572618765593,2.25E-34,-9.33088805761374,3.14E-34,-9.65619082967983,5.73E-34,-9.66405425498774,1.56E-33,-9.65673841561493,5.59E-33,-9.67682770125079,1.72E-32,-9.94500826547679,2.29E-34,-9.94497018343485,3.29E-34,-9.94491250189655,6.28E-34,-9.94485554800065,1.51E-33,-9.94497978302878,5.75E-33,-9.94490916706548,1.58E-32
-9.27572618765593,2.20E-34,-9.27088805761374,2.79E-34,-9.62619082967983,6.18E-34,-9.63405425498774,1.49E-33,-9.62673841561493,4.71E-33,-9.64682770125078,1.50E-32,-9.94020821747633,2.29E-34,-9.94017013543444,3.29E-34,-9.94011245389612,6.28E-34,-9.94005550000026,1.51E-33,-9.94017973502819,5.75E-33,-9.94010911906499,1.58E-32
-9.21572618765593,2.29E-34,-9.21088805761374,3.30E-34,-9.59619082967983,5.55E-34,-9.60405425498774,1.50E-33,-9.59673841561493,5.46E-33,-9.61682770125079,1.63E-32,-9.93540816947578,2.29E-34,-9.93537008743399,3.29E-34,-9.93531240589555,6.28E-34,-9.93525545199972,1.51E-33,-9.93537968702775,5.75E-33,-9.9353090710646,1.58E-32
